year,l_under_0.1,l_0.2-0.4,l_0.5-0.7,l_0.8-1.0,l_1.1-1.5,l_1.6-2.0
2013-03-18,133892.95184454843,813094.6174617497,2159293.2045472884,4548075.837753159,3656962.2693706574,128692.72716886661
2013-03-19,133886.51381199187,813133.1630371113,2159566.2913857214,4548792.585079148,3657515.1323318114,128689.38887267934
2013-03-20,133880.01110331807,813172.0831327274,2159840.7556661125,4549513.177914031,3658071.11057515,128686.1266401697
2013-03-21,133873.44371852715,813211.3777485988,2160116.597388464,4550237.616257807,3658630.204100676,128682.94047133779
2013-03-22,133866.81165761902,813251.0468847248,2160393.816552775,4550965.900110475,3659192.4129083874,128679.83036618354
2013-03-23,133860.11492059377,813291.0905411056,2160672.4131590454,4551698.029472038,3659757.736998286,128676.79632470699
2013-03-24,133853.3535074513,813331.5087177414,2160952.3872072753,4552434.004342494,3660326.17637037,128673.8383469081
2013-03-25,133846.52741819166,813372.3014146319,2161233.7386974646,4553173.824721842,3660897.7310246406,128670.9564327869
2013-03-26,133839.63665281486,813413.4686317774,2161516.467629614,4553917.490610085,3661472.4009610983,128668.1505823434
2013-03-27,133832.6812113209,813455.0103691779,2161800.574003722,4554665.002007221,3662050.1861797413,128665.42079557758
2013-03-28,133825.66109370973,813496.9266268328,2162086.0578197897,4555416.35891325,3662631.0866805706,128662.76707248943
2013-03-29,133818.57629998142,813539.217404743,2162372.9190778174,4556171.561328173,3663215.102463586,128660.18941307894
2013-03-30,133811.42683013593,813581.8827029079,2162661.1577778044,4556930.609251988,3663802.233528788,128657.68781734616
2013-03-31,133804.21268417325,813624.9225213276,2162950.773919751,4557693.5026846975,3664392.4798761765,128655.26228529109
2013-04-01,133796.93386209337,813668.3368600021,2163241.767503657,4558460.2416263,3664985.84150575,128652.91281691365
2013-04-02,133789.59036389636,813712.1257189317,2163534.1385295223,4559230.826076796,3665582.318417511,128650.63941221392
2013-04-03,133782.18218958218,813756.289098116,2163827.8869973477,4560005.256036185,3666181.910611458,128648.44207119185
2013-04-04,133774.7093391508,813800.8269975552,2164123.0129071325,4560783.531504467,3666784.6180875907,128646.3207938475
2013-04-05,133767.17181260226,813845.7394172493,2164419.5162588763,4561565.6524816435,3667390.4408459105,128644.27558018081
2013-04-06,133759.56960993656,813891.0263571981,2164717.39705258,4562351.618967713,3667999.3788864156,128642.30643019179
2013-04-07,133751.90273115368,813936.687817402,2165016.6552882437,4563141.430962676,3668611.4322091085,128640.4133438805
2013-04-08,133744.17117625364,813982.7237978607,2165317.2909658663,4563935.0884665325,3669226.6008139867,128638.59632124685
2013-04-09,133736.37494523637,814029.1342985741,2165619.304085448,4564732.591479281,3669844.8847010504,128636.8553622909
2013-04-10,133728.51403810197,814075.9193195425,2165922.69464699,4565533.940000924,3670466.283870301,128635.19046701261
2013-04-11,133720.58845485037,814123.0788607656,2166227.462650491,4566339.134031461,3671090.798321738,128633.60163541201
2013-04-12,133712.59819548167,814170.6129222439,2166533.6080959523,4567148.173570891,3671718.428055362,128632.08886748913
2013-04-13,133704.54325999573,814218.5215039768,2166841.1309833727,4567961.058619214,3672349.173071171,128630.65216324388
2013-04-14,133696.4236483926,814266.8046059643,2167150.031312752,4568777.78917643,3672983.033369167,128629.29152267633
2013-04-15,133688.23936067233,814315.4622282072,2167460.3090840913,4569598.365242539,3673620.0089493487,128628.00694578647
2013-04-16,133679.9903968349,814364.4943707047,2167771.9642973905,4570422.786817543,3674260.099811717,128626.79843257432
2013-04-17,133671.6767568803,814413.9010334571,2168084.996952649,4571251.0539014395,3674903.3059562715,128625.66598303983
2013-04-18,133663.2984408085,814463.6822164643,2168399.4070498673,4572083.166494229,3675549.6273830123,128624.60959718301
2013-04-19,133654.85544861952,814513.8379197263,2168715.1945890444,4572919.124595912,3676199.0640919385,128623.62927500386
2013-04-20,133646.34778031337,814564.3681432434,2169032.3595701815,4573758.9282064885,3676851.616083052,128622.7250165024
2013-04-21,133637.77543589007,814615.2728870152,2169350.901993278,4574602.577325959,3677507.283356351,128621.89682167865
